,Mining iterations,Average mining time
Truck #265,19,163.53
Truck #266,18,174.67
Truck #267,17,198.82
Truck #268,17,187.76
Truck #269,18,177.67
Truck #270,19,178.95
Truck #271,19,161.95
Truck #272,19,165.58
Truck #273,18,179.22
Truck #274,18,181.22
Truck #275,19,172.53
Truck #276,17,196.35
Truck #277,19,168.11
Truck #278,18,180.0
Truck #279,16,207.31
Truck #280,19,179.37
Truck #281,18,178.17
Truck #282,17,196.88
Truck #283,20,156.3
Truck #284,18,173.72
Truck #285,19,166.68
Truck #286,18,189.39
Truck #287,17,193.47
Truck #288,19,167.53
Truck #289,16,220.88
Truck #290,19,176.74
Truck #291,18,183.83
Truck #292,16,211.12
Truck #293,20,159.7
Truck #294,19,171.47
Truck #295,20,156.1
Truck #296,18,175.44
Truck #297,16,205.88
Truck #298,18,177.89
Truck #299,21,149.19
Truck #300,18,181.94
Truck #301,19,165.79
Truck #302,18,178.11
Truck #303,16,213.0
Truck #304,19,172.11
Truck #305,17,188.24
Truck #306,18,182.44
Truck #307,16,214.25
Truck #308,17,190.82
Truck #309,17,191.12
Truck #310,17,194.24
Truck #311,20,157.85
Truck #312,18,181.56
Truck #313,19,166.16
Truck #314,17,192.29
Truck #315,17,190.65
Truck #316,18,178.11
Truck #317,18,175.56
Truck #318,19,161.42
Truck #319,18,179.22
Truck #320,17,202.06
Truck #321,17,199.0
Truck #322,19,169.89
Truck #323,17,196.06
Truck #324,16,210.38
Truck #325,17,191.53
Truck #326,20,154.65
Truck #327,18,178.61
Truck #328,19,171.26
Truck #329,19,173.16
Truck #330,18,178.11
Truck #331,19,174.47
Truck #332,16,205.94
Truck #333,17,193.0
Truck #334,18,177.44
Truck #335,18,176.83
Truck #336,18,175.33
Truck #337,19,165.74
Truck #338,16,209.0
Truck #339,19,169.26
Truck #340,21,146.29
Truck #341,18,173.83
Truck #342,18,175.33
Truck #343,18,175.56
Truck #344,17,191.47
Truck #345,20,156.5
Truck #346,20,159.8
Truck #347,17,189.47
Truck #348,20,157.4
Truck #349,21,140.52
Truck #350,16,212.94
Truck #351,20,157.6
Truck #352,16,213.81
Truck #353,19,161.74
Truck #354,18,177.89
Truck #355,18,183.72
Truck #356,17,188.94
Truck #357,18,181.72
Truck #358,19,174.16
Truck #359,17,194.0
Truck #360,18,181.94
Truck #361,20,154.25
Truck #362,17,202.18
